name,ring,quadrant,isNew,description
Consul,adopt,tools,FALSE,"Consul is a tool by HashiCorp that provides Service Discovery, Health Checking, KV Store, and can be Multi Datacenter aware.  <a href=""https://www.consul.io/intro/index.html"">Consul Homepage<a>"
Grafana,adopt,tools,FALSE,"Grafana is an open source metric analytics & visualization suite. We commonly use it for visualizing time series data for infrastructure and application analytics. <a href=""http://docs.grafana.org/"">Grafana Docs</a>"
Packer,adopt,tools,FALSE,"Packer is a tool by HashiCorp that can be used to create identical machine images for multiple platforms from a single source configuration. <a href=""https://www.packer.io/docs/index.html"">Packer Docs</a>"
Apache Kafka,assess,tools,TRUE,"Apache Kafka is a distributed streaming platform. It is widely used to for real-time streaming data pipelines that reliably get data between systems or applications. <a href=""http://kafka.apache.org/documentation/"">Kafka Docs</a>"
Vault,trial,tools,TRUE,"Vault is a tool by HashiCorp for securely accessing secrets.  The key features of this tool are Secure Secret Storage, Dynamic Secrets, Data Encryption, Leasing and Renewal, and Revocation.  <a href=""https://www.vaultproject.io/docs/index.html>Vault Docs</a>"
Serverspec,adopt,tools,FALSE,"ServerSpec are RSpec Tests for checking that your servers are configured correctly.  <a href=""http://serverspec.org/"">Server Spec</a>"
Terraform,trial,tools,TRUE,"Terraform is a tool for building, changing, and versioning infrastructure safely and efficiently. The key features of terraform are Infrastructure as Code, Excecution plans, Resource Graphs, and Change Automation. <a href=""https://www.terraform.io/docs/index.html""> Terraform Docs </a>"
tmate,trial,tools,FALSE,"tmate is Instant Terminal Sharing.  It is also a fork of a popular open source project tmux. This tools is great for pairing using a terminal. <a href=""https://tmate.io/"">tmate</a>"
HoneyComb,assess,tools,TRUE,"Obserbvability platform for answering questions traditional monitoring and logging can't.  Events and metrics have high cardinality making them easily searchable.   <a href=""https://honeycomb.io/docs/"">Honeycomb docs</a>"
Sensu,assess,tools,TRUE,"A monitoring platform for Servers, Containers, Services, Applications, Network Devices adn Remote Resources. <a href=""https://sensuapp.org/docs/latest/overview/what-is-sensu.html""> Sensu Docs</a>"
Shinken,depr,tools,FALSE,"Shinken is a fork of Nagios and is used to monitor applications and infrastructure. <a href=""http://shinken.readthedocs.io/en/latest/""> Shinken Docs</a>"
Jenkins,adopt,tools,FALSE,"Jenkins is an open source automation server. There are plugins for everything. <a href=""https://jenkins.io/index.html""> Jenkins </a>"
Apache httpd,adopt,tools,FALSE,"Apache HTTP Server is an open-source HTTP server for modern operating systems including UNIX and Windows. <a href=""http://httpd.apache.org/docs/"">Appache Docs</a>"
statsD,adopt,tools,FALSE,"Daemon for easy but powerful stats aggregation built in node.js <a href=""https://github.com/etsy/statsd"">statsd repository</a>"
Clair,assess,tools,TRUE,"Container vulnerability scanner for docker containers.  <a href=""https://github.com/coreos/clair"">Clair Readme</a>"
Redis,adopt,tools,FALSE,"Redis is an open source (BSD licensed), in-memory data structure store, used as a database, cache and message broker. <a href=""https://redis.io/documentation"">Redis Docs</a>"
Harbor,trial,tools,TRUE,"An enterprise-class container registry server based on Docker Distribution <a href=""https://github.com/vmware/harbor"">Harbord Readme</a>"
Spinnaker,assess,tools,TRUE,"An open source, multi-cloud continuous delivery platform for releasing software changes with high velocity and confidence. It has a robust API as well. <a href=""https://www.spinnaker.io/reference/"">Spinnaker Docs</a>"
Elixir,adopt,languages & frameworks,FALSE,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications.<br /><br />Elixir leverages the Erlang VM, known for running low-latency, distributed and fault-tolerant systems, while also being successfully used in web development and the embedded software domain.<a href=""https://elixir-lang.org/docs.html"">Elixir Docs</a>"
Phoenix,trial,languages & frameworks,TRUE,"The Phoenix Framework is designed to bring back the joy and simplicity into writing modern web applications using the elixir language.<a href=""https://hexdocs.pm/phoenix/Phoenix.html"">Phoenix Docs</a>."
Ruby,adopt,languages & frameworks,FALSE,"A dynamic, open source programming language with a focus on simplicity and productivity. It has an elegant syntax that is natural to read and easy to write.<a href=""https://www.ruby-lang.org/en/documentation/"">Ruby Docs</a>"
Python,adopt,languages & frameworks,FALSE,"A high-level general purpose programming language.  <a href=""https://www.python.org/doc/>Python Docs</a>"
Hadoop,assess,languages & frameworks,TRUE,"Apache Hadoop is a framwork that allows for distributed processing of large data sets across clusters of computers.  <a href=""http://hadoop.apache.org/docs/current/"">Hadoop Docs</a>"
